Yahoo Ticker,Name,Sector,Asset Class,Location,Ticker,Exchange,Currency
BATS.L,BRITISH AMERICAN TOBACCO PLC,Consumer Staples,Equity,United Kingdom,BATS,London Stock Exchange,GBP
TGT,TARGET CORP,Consumer Discretionary,Equity,United States,TGT,New York Stock Exchange Inc.,USD
ENB.TO,ENBRIDGE INC,Energy,Equity,Canada,ENB,Toronto Stock Exchange,CAD
AIR.PA,AIRBUS GROUP,Industrials,Equity,France,AIR,Nyse Euronext - Euronext Paris,EUR
REGN,REGENERON PHARMACEUTICALS INC,Health Care,Equity,United States,REGN,NASDAQ,USD
SLB,SCHLUMBERGER NV,Energy,Equity,United States,SLB,New York Stock Exchange Inc.,USD
DUK,DUKE ENERGY CORP,Utilities,Equity,United States,DUK,New York Stock Exchange Inc.,USD
VRTX,VERTEX PHARMACEUTICALS INC,Health Care,Equity,United States,VRTX,NASDAQ,USD
EOG,EOG RESOURCES INC,Energy,Equity,United States,EOG,New York Stock Exchange Inc.,USD
ITW,ILLINOIS TOOL INC,Industrials,Equity,United States,ITW,New York Stock Exchange Inc.,USD
CP.TO,CANADIAN PACIFIC RAILWAY LTD,Industrials,Equity,Canada,CP,Toronto Stock Exchange,CAD
IBE.MC,IBERDROLA SA,Utilities,Equity,Spain,IBE,Bolsa De Madrid,EUR
ZURN.SW,ZURICH INSURANCE GROUP AG,Financials,Equity,Switzerland,ZURN,SIX Swiss Exchange,CHF
DTE.DE,DEUTSCHE TELEKOM N AG,Communication,Equity,Germany,DTE,Xetra,EUR
GSK.L,GLAXOSMITHKLINE,Health Care,Equity,United Kingdom,GSK,London Stock Exchange,GBP
FISV,FISERV INC,Information Technology,Equity,United States,FISV,NASDAQ,USD
SO,SOUTHERN,Utilities,Equity,United States,SO,New York Stock Exchange Inc.,USD
NOC,NORTHROP GRUMMAN CORP,Industrials,Equity,United States,NOC,New York Stock Exchange Inc.,USD
CNR.TO,CANADIAN NATIONAL RAILWAY,Industrials,Equity,Canada,CNR,Toronto Stock Exchange,CAD
BDX,BECTON DICKINSON,Health Care,Equity,United States,BDX,New York Stock Exchange Inc.,USD
ETN,EATON PLC,Industrials,Equity,United States,ETN,New York Stock Exchange Inc.,USD
CNQ.TO,CANADIAN NATURAL RESOURCES LTD,Energy,Equity,Canada,CNQ,Toronto Stock Exchange,CAD
9984.T,SOFTBANK GROUP CORP,Communication,Equity,Japan,9984,Tokyo Stock Exchange,JPY
GD,GENERAL DYNAMICS CORP,Industrials,Equity,United States,GD,New York Stock Exchange Inc.,USD
SHOP.TO,SHOPIFY SUBORDINATE VOTING INC CLA,Information Technology,Equity,Canada,SHOP,Toronto Stock Exchange,CAD
ABBN.SW,ABB LTD,Industrials,Equity,Switzerland,ABBN,SIX Swiss Exchange,CHF
CDNS,CADENCE DESIGN SYSTEMS INC,Information Technology,Equity,United States,CDNS,NASDAQ,USD
FDX,FEDEX CORP,Industrials,Equity,United States,FDX,New York Stock Exchange Inc.,USD
VLO,VALERO ENERGY CORP,Energy,Equity,United States,VLO,New York Stock Exchange Inc.,USD
MCK,MCKESSON CORP,Health Care,Equity,United States,MCK,New York Stock Exchange Inc.,USD
DG,DOLLAR GENERAL CORP,Consumer Discretionary,Equity,United States,DG,New York Stock Exchange Inc.,USD
UBER,UBER TECHNOLOGIES INC,Industrials,Equity,United States,UBER,New York Stock Exchange Inc.,USD
ABNB,AIRBNB INC CLASS A,Consumer Discretionary,Equity,United States,ABNB,NASDAQ,USD
8035.T,TOKYO ELECTRON LTD,Information Technology,Equity,Japan,8035,Tokyo Stock Exchange,JPY
PANW,PALO ALTO NETWORKS INC,Information Technology,Equity,United States,PANW,NASDAQ,USD
BAS.DE,BASF N,Materials,Equity,Germany,BAS,Xetra,EUR
EMR,EMERSON ELECTRIC,Industrials,Equity,United States,EMR,New York Stock Exchange Inc.,USD
MCO,MOODYS CORP,Financials,Equity,United States,MCO,New York Stock Exchange Inc.,USD
NXPI,NXP SEMICONDUCTORS NV,Information Technology,Equity,United States,NXPI,NASDAQ,USD
MET,METLIFE INC,Financials,Equity,United States,MET,New York Stock Exchange Inc.,USD
F,FORD MOTOR CO,Consumer Discretionary,Equity,United States,F,New York Stock Exchange Inc.,USD
AAL.L,ANGLO AMERICAN PLC,Materials,Equity,United Kingdom,AAL,London Stock Exchange,GBP
PSX,PHILLIPS 66,Energy,Equity,United States,PSX,New York Stock Exchange Inc.,USD
BN.TO,BROOKFIELD CORP CLASS A,Financials,Equity,Canada,BN,Toronto Stock Exchange,CAD
MELI,MERCADOLIBRE INC,Consumer Discretionary,Equity,United States,MELI,NASDAQ,USD
SRE,SEMPRA,Utilities,Equity,United States,SRE,New York Stock Exchange Inc.,USD
9433.T,KDDI CORP,Communication,Equity,Japan,9433,Tokyo Stock Exchange,JPY
IFX.DE,INFINEON TECHNOLOGIES AG,Information Technology,Equity,Germany,IFX,Xetra,EUR
PXD,PIONEER NATURAL RESOURCE,Energy,Equity,United States,PXD,New York Stock Exchange Inc.,USD
AZO,AUTOZONE INC,Consumer Discretionary,Equity,United States,AZO,New York Stock Exchange Inc.,USD
6501.T,HITACHI LTD,Industrials,Equity,Japan,6501,Tokyo Stock Exchange,JPY
ADSK,AUTODESK INC,Information Technology,Equity,United States,ADSK,NASDAQ,USD
RKT.L,RECKITT BENCKISER GROUP PLC,Consumer Staples,Equity,United Kingdom,RKT,London Stock Exchange,GBP
MAR,MARRIOTT INTERNATIONAL INC CLASS A,Consumer Discretionary,Equity,United States,MAR,NASDAQ,USD
APH,AMPHENOL CORP CLASS A,Information Technology,Equity,United States,APH,New York Stock Exchange Inc.,USD
D,DOMINION ENERGY INC,Utilities,Equity,United States,D,New York Stock Exchange Inc.,USD
6367.T,DAIKIN INDUSTRIES LTD,Industrials,Equity,Japan,6367,Tokyo Stock Exchange,JPY
EW,EDWARDS LIFESCIENCES CORP,Health Care,Equity,United States,EW,New York Stock Exchange Inc.,USD
4502.T,TAKEDA PHARMACEUTICAL LTD,Health Care,Equity,Japan,4502,Tokyo Stock Exchange,JPY
NG.L,NATIONAL GRID PLC,Utilities,Equity,United Kingdom,NG.,London Stock Exchange,GBP
PSA,PUBLIC STORAGE REIT,Real Estate,Equity,United States,PSA,New York Stock Exchange Inc.,USD
AEP,AMERICAN ELECTRIC POWER INC,Utilities,Equity,United States,AEP,NASDAQ,USD
KER.PA,KERING SA,Consumer Discretionary,Equity,France,KER,Nyse Euronext - Euronext Paris,EUR
SU.TO,SUNCOR ENERGY INC,Energy,Equity,Canada,SU,Toronto Stock Exchange,CAD
MCHP,MICROCHIP TECHNOLOGY INC,Information Technology,Equity,United States,MCHP,NASDAQ,USD
ENEL.MI,ENEL,Utilities,Equity,Italy,ENEL,Borsa Italiana,EUR
CTVA,CORTEVA INC,Materials,Equity,United States,CTVA,New York Stock Exchange Inc.,USD
ADM,ARCHER DANIELS MIDLAND,Consumer Staples,Equity,United States,ADM,New York Stock Exchange Inc.,USD
DXCM,DEXCOM INC,Health Care,Equity,United States,DXCM,NASDAQ,USD
NUE,NUCOR CORP,Materials,Equity,United States,NUE,New York Stock Exchange Inc.,USD
GIS,GENERAL MILLS INC,Consumer Staples,Equity,United States,GIS,New York Stock Exchange Inc.,USD
PH,PARKER-HANNIFIN CORP,Industrials,Equity,United States,PH,New York Stock Exchange Inc.,USD
MSCI,MSCI INC,Financials,Equity,United States,MSCI,New York Stock Exchange Inc.,USD
TRV,TRAVELERS COMPANIES INC,Financials,Equity,United States,TRV,New York Stock Exchange Inc.,USD
JCI,JOHNSON CONTROLS INTERNATIONAL PLC,Industrials,Equity,United States,JCI,New York Stock Exchange Inc.,USD
WDS.AX,WOODSIDE ENERGY GROUP LTD,Energy,Equity,Australia,WDS,Asx - All Markets,AUD
MSI,MOTOROLA SOLUTIONS INC,Information Technology,Equity,United States,MSI,New York Stock Exchange Inc.,USD
CMG,CHIPOTLE MEXICAN GRILL INC,Consumer Discretionary,Equity,United States,CMG,New York Stock Exchange Inc.,USD
7267.T,HONDA MOTOR LTD,Consumer Discretionary,Equity,Japan,7267,Tokyo Stock Exchange,JPY
A,AGILENT TECHNOLOGIES INC,Health Care,Equity,United States,A,New York Stock Exchange Inc.,USD
LONN.SW,LONZA GROUP AG,Health Care,Equity,Switzerland,LONN,SIX Swiss Exchange,CHF
ROP,ROPER TECHNOLOGIES INC,Information Technology,Equity,United States,ROP,New York Stock Exchange Inc.,USD
TEL,TE CONNECTIVITY LTD,Information Technology,Equity,United States,TEL,New York Stock Exchange Inc.,USD
NTR.TO,NUTRIEN LTD,Materials,Equity,Canada,NTR,Toronto Stock Exchange,CAD
CHTR,CHARTER COMMUNICATIONS INC CLASS A,Communication,Equity,United States,CHTR,NASDAQ,USD
COF,CAPITAL ONE FINANCIAL CORP,Financials,Equity,United States,COF,New York Stock Exchange Inc.,USD
TRP.TO,TC ENERGY CORP,Energy,Equity,Canada,TRP,Toronto Stock Exchange,CAD
TT,TRANE TECHNOLOGIES PLC,Industrials,Equity,United States,TT,New York Stock Exchange Inc.,USD
IQV,IQVIA HOLDINGS INC,Health Care,Equity,United States,IQV,New York Stock Exchange Inc.,USD
RI.PA,PERNOD RICARD SA,Consumer Staples,Equity,France,RI,Nyse Euronext - Euronext Paris,EUR
6098.T,RECRUIT HOLDINGS LTD,Industrials,Equity,Japan,6098,Tokyo Stock Exchange,JPY
DPW.DE,DEUTSCHE POST AG,Industrials,Equity,Germany,DPW,Xetra,EUR
FTNT,FORTINET INC,Information Technology,Equity,United States,FTNT,NASDAQ,USD
CNC,CENTENE CORP,Health Care,Equity,United States,CNC,New York Stock Exchange Inc.,USD
FIS,FIDELITY NATIONAL INFORMATION SERV,Information Technology,Equity,United States,FIS,New York Stock Exchange Inc.,USD
SQ,BLOCK INC CLASS A,Information Technology,Equity,United States,SQ,New York Stock Exchange Inc.,USD
KMB,KIMBERLY CLARK CORP,Consumer Staples,Equity,United States,KMB,New York Stock Exchange Inc.,USD
IDXX,IDEXX LABORATORIES INC,Health Care,Equity,United States,IDXX,NASDAQ,USD
O,REALTY INCOME REIT CORP,Real Estate,Equity,United States,O,New York Stock Exchange Inc.,USD
LHX,L3HARRIS TECHNOLOGIES INC,Industrials,Equity,United States,LHX,New York Stock Exchange Inc.,USD
DOW,DOW INC,Materials,Equity,United States,DOW,New York Stock Exchange Inc.,USD
EXC,EXELON CORP,Utilities,Equity,United States,EXC,NASDAQ,USD
ECL,ECOLAB INC,Materials,Equity,United States,ECL,New York Stock Exchange Inc.,USD
AFL,AFLAC INC,Financials,Equity,United States,AFL,New York Stock Exchange Inc.,USD
HLT,HILTON WORLDWIDE HOLDINGS INC,Consumer Discretionary,Equity,United States,HLT,New York Stock Exchange Inc.,USD
MNST,MONSTER BEVERAGE CORP,Consumer Staples,Equity,United States,MNST,NASDAQ,USD
7741.T,HOYA CORP,Health Care,Equity,Japan,7741,Tokyo Stock Exchange,JPY
SPG,SIMON PROPERTY GROUP REIT INC,Real Estate,Equity,United States,SPG,New York Stock Exchange Inc.,USD
CM.TO,CANADIAN IMPERIAL BANK OF COMMERCE,Financials,Equity,Canada,CM,Toronto Stock Exchange,CAD
ROST,ROSS STORES INC,Consumer Discretionary,Equity,United States,ROST,NASDAQ,USD
CPG.L,COMPASS GROUP PLC,Consumer Discretionary,Equity,United Kingdom,CPG,London Stock Exchange,GBP
CTAS,CINTAS CORP,Industrials,Equity,United States,CTAS,NASDAQ,USD
HES,HESS CORP,Energy,Equity,United States,HES,New York Stock Exchange Inc.,USD
SYY,SYSCO CORP,Consumer Staples,Equity,United States,SYY,New York Stock Exchange Inc.,USD
BIIB,BIOGEN INC,Health Care,Equity,United States,BIIB,NASDAQ,USD
AMP,AMERIPRISE FINANCE INC,Financials,Equity,United States,AMP,New York Stock Exchange Inc.,USD
WES.AX,WESFARMERS LTD,Consumer Discretionary,Equity,Australia,WES,Asx - All Markets,AUD
DD,DUPONT DE NEMOURS INC,Materials,Equity,United States,DD,New York Stock Exchange Inc.,USD
MRVL,MARVELL TECHNOLOGY INC,Information Technology,Equity,United States,MRVL,NASDAQ,USD
ENI.MI,ENI,Energy,Equity,Italy,ENI,Borsa Italiana,EUR
MFC.TO,MANULIFE FINANCIAL CORP,Financials,Equity,Canada,MFC,Toronto Stock Exchange,CAD
PCAR,PACCAR INC,Industrials,Equity,United States,PCAR,NASDAQ,USD
